image_name,vulnerability_id,package_name,installed_version,fixed_version,severity,cvss_v3
registry.sighup.io/fury/tigera/operator:v1.32.3,CVE-2023-48795,golang.org/x/crypto,v0.14.0,0.17.0,MEDIUM,5.9
registry.sighup.io/fury/tigera/operator:v1.32.3,CVE-2024-24786,google.golang.org/protobuf,v1.28.1,1.33.0,MEDIUM,
registry.sighup.io/fury/kong:3.2.2,CVE-2022-3715,bash,5.1-6ubuntu1,5.1-6ubuntu1.1,MEDIUM,7.8
registry.sighup.io/fury/cephcsi/cephcsi:v3.7.2,CVE-2021-3468,avahi-libs,0.7-20.el8,0.7-21.el8_9.1,MEDIUM,5.5
registry.sighup.io/fury/istio/operator:1.19.3,CVE-2022-3715,bash,5.1-6ubuntu1,5.1-6ubuntu1.1,MEDIUM,7.8
registry.sighup.io/fury/velero/velero-plugin-for-gcp:v1.9.0,CVE-2024-24786,google.golang.org/protobuf,v1.31.0,1.33.0,MEDIUM,
registry.sighup.io/fury/prometheus/blackbox-exporter:v0.24.0,CVE-2023-48795,golang.org/x/crypto,v0.8.0,0.17.0,MEDIUM,5.9
registry.sighup.io/fury/prometheus/blackbox-exporter:v0.24.0,CVE-2023-39325,golang.org/x/net,v0.9.0,0.17.0,HIGH,7.5
registry.sighup.io/fury/prometheus/blackbox-exporter:v0.24.0,CVE-2023-3978,golang.org/x/net,v0.9.0,0.13.0,MEDIUM,6.1
registry.sighup.io/fury/prometheus/blackbox-exporter:v0.24.0,CVE-2023-44487,golang.org/x/net,v0.9.0,0.17.0,MEDIUM,7.5
registry.sighup.io/fury/prometheus/blackbox-exporter:v0.24.0,GHSA-m425-mq94-257g,google.golang.org/grpc,v1.55.0,"1.56.3, 1.57.1, 1.58.3",HIGH,
registry.sighup.io/fury/prometheus/blackbox-exporter:v0.24.0,CVE-2023-44487,google.golang.org/grpc,v1.55.0,"1.58.3, 1.57.1, 1.56.3",MEDIUM,7.5
registry.sighup.io/fury/prometheus/blackbox-exporter:v0.24.0,CVE-2024-24786,google.golang.org/protobuf,v1.30.0,1.33.0,MEDIUM,
registry.sighup.io/fury/eks-distro/kubernetes-csi/external-snapshotter/csi-snapshotter:v6.2.2-eks-1-27-9,CVE-2023-37920,ca-certificates,2021.2.50-72.amzn2.0.7,2021.2.50-72.amzn2.0.8,HIGH,9.8
registry.sighup.io/fury/eks-distro/kubernetes-csi/external-snapshotter/csi-snapshotter:v6.2.2-eks-1-27-9,CVE-2023-39325,golang.org/x/net,v0.8.0,0.17.0,HIGH,7.5
registry.sighup.io/fury/eks-distro/kubernetes-csi/external-snapshotter/csi-snapshotter:v6.2.2-eks-1-27-9,CVE-2023-3978,golang.org/x/net,v0.8.0,0.13.0,MEDIUM,6.1
registry.sighup.io/fury/eks-distro/kubernetes-csi/external-snapshotter/csi-snapshotter:v6.2.2-eks-1-27-9,CVE-2023-44487,golang.org/x/net,v0.8.0,0.17.0,MEDIUM,7.5
registry.sighup.io/fury/eks-distro/kubernetes-csi/external-snapshotter/csi-snapshotter:v6.2.2-eks-1-27-9,GHSA-m425-mq94-257g,google.golang.org/grpc,v1.50.1,"1.56.3, 1.57.1, 1.58.3",HIGH,
registry.sighup.io/fury/eks-distro/kubernetes-csi/external-snapshotter/csi-snapshotter:v6.2.2-eks-1-27-9,CVE-2023-44487,google.golang.org/grpc,v1.50.1,"1.58.3, 1.57.1, 1.56.3",MEDIUM,7.5
registry.sighup.io/fury/eks-distro/kubernetes-csi/external-snapshotter/csi-snapshotter:v6.2.2-eks-1-27-9,CVE-2024-24786,google.golang.org/protobuf,v1.28.1,1.33.0,MEDIUM,
